timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-21T13:12:57,codecarbon,7b37a6e7-0fc8-4f8d-bcac-7e9cec5d6add,10.496516227722168,0.0001369177278226,1.304411147967996e-05,42.5,0.0,165.20000553131104,0.0001239123867617,0.0,0.0004813933119361,0.0006053056986979,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T13:20:39,codecarbon,c9f62bcb-eacb-4c34-aba4-b7427e490d45,10.67797327041626,0.0001392990106684,1.3045454145723789e-05,42.5,0.0,165.20000553131104,0.0001260558348562,0.0,0.0004897773835404,0.0006158332183967,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T13:26:10,codecarbon,5e66c00d-7b55-4178-b46e-1c0d04b85533,9.705957412719728,0.000126611051702,1.3044674143747206e-05,42.5,0.0,165.20000553131104,0.0001145801297492,0.0,0.0004451603241138,0.000559740453863,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T13:27:34,codecarbon,b3cde016-faf6-4484-b36e-0818b938b1b3,9.713757753372192,0.0001267085407891,1.3044235197766462e-05,42.5,0.0,165.20000553131104,0.0001146717301673,0.0,0.0004454997175554,0.0005601714477228,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T13:30:07,codecarbon,e89350f7-7059-41dc-a9b2-cb2bd123c104,10.358361721038818,0.0001351276481642,1.3045272196836844e-05,42.5,0.0,165.20000553131104,0.0001222823277115,0.0,0.000475109527866,0.0005973918555776,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T13:31:41,codecarbon,95fbd5cb-6cc6-42ba-b8c8-7120dc450426,10.026174783706663,0.0001307931718463,1.30451717297887e-05,42.5,0.0,165.20000553131104,0.0001183603977163,0.0,0.0004598689778973,0.0005782293756137,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T14:26:22,codecarbon,cb1db568-6b0f-41c4-ad9a-cc7ee1bfb557,9.912515878677368,0.0001293113848329,1.304526382763029e-05,42.5,0.0,165.20000553131104,0.0001170192723472,0.0,0.0004546592048712,0.0005716784772185,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-21T14:46:57,codecarbon,a6480a2d-f0b4-4b40-9dd6-765be99c9752,9.95459794998169,0.0001298595229795,1.3045180089851033e-05,42.5,0.0,165.20000553131104,0.0001175158156288,0.0,0.000456585950006,0.0005741017656349,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T13:06:07,codecarbon,ffde6a40-c17c-4e62-91cd-aca18df62f23,1.0117788314819336,1.3138648462077e-05,1.298569218218676e-05,42.5,0.0,165.20000553131104,1.1940355433358089e-05,0.0,4.614488242264732e-05,5.808523785600541e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T14:14:51,codecarbon,9d6a3722-27c1-4f32-b1d5-18bb9917985a,0.9548449516296388,1.2410083586877249e-05,1.2996962036293846e-05,42.5,0.0,165.20000553131104,1.1268728805912865e-05,0.0,4.3595564050182055e-05,5.486429285609492e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
